¿compras_productos_de_dermocosmética?,¿has_comprado_productos_de_dermocosmética_en_fybeca_alguna_vez?,"cuando_piensas_en_fybeca,_¿qué_tan_asociada_la_percibes_con_productos_de_dermocosmética?",¿cuál_de_las_siguientes_palabras_describe_mejor_a_fybeca_en_dermocosmética?,"la_comunicación_de_fybeca_sobre_dermocosmética_(imágenes,_textos,_promociones)_es:","¿sientes_que_la_comunicación_de_fybeca_aborda_problemas_reales_de_la_piel_(acné,_manchas,_sensibilidad,_envejecimiento,_etc.)?",¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_beneficios_claros_del_producto,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_recomendaciones_según_tipo_de_piel,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_antes_y_después_/_resultados,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_consejos_de_expertos,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_promociones_y_descuentos,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_comparación_entre_productos,¿cómo_percibes_los_precios_de_fybeca_en_dermocosmética?,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_totalmente_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_ni_de_acuerdo_ni_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_de_acuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_totalmente_de_acuerdo,¿qué_tanto_confías_en_fybeca_como_experta_en_el_cuidado_de_la_piel?,¿crees_que_en_fybeca_puedes_recibir_asesoría_adecuada_para_elegir_productos_dermocosméticos?,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_personal_capacitado,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_recomendaciones_dermatológicas,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_test_de_piel,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_contenido_educativo,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_opiniones_de_otros_clientes,¿qué_debería_mejorar_fybeca_para_que_la_elijas_como_tu_principal_lugar_de_compra_de_dermocosmética?,ciudad:,ciudad
Sí,"No, nunca",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",nan,nan,Test de piel,nan,nan,"He escuchado bastante de su calidad y estoy por comprar, el único detalle a veces son los precios de algunos productos",Santo Domingo,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Económica,Clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,nan,nan,nan,Comparación entre productos,Similares,nan,Calidad,nan,"Precio, Producto",nan,Algo,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Su información en los productos a vender,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,En parte,Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,Precio,Producto,Calidad,nan,nan,Nada,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,personal guía,quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,No lo sé,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,No lo sé,Personal capacitado,nan,nan,nan,nan,Que haya personal capacitado en dermocosmética,El Quinche,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Poco clara,En parte,nan,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,nan,Precio,Calidad,Producto,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Que tenga productos koreanos,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,Contenido educativo,Opiniones de otros clientes,Información de productos y precios,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,nan,nan,Antes y después / resultados,nan,nan,nan,Similares,Calidad,Precio,nan,Producto,nan,Mucho,En parte,Personal capacitado,nan,nan,nan,nan,"Los horarios, cierran muy temprano",Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Precios de los productos.,Valladares,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,nan,Recomendaciones dermatológicas,Test de piel,nan,nan,Poner en promoción los productos y realizar una prueba antes de vender,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,Antes y después / resultados,nan,Promociones y descuentos,Comparación entre productos,Más bajos que la competencia,nan,nan,nan,"Precio, Calidad",Producto,Mucho,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,"Nada, está bien",Sangolqui,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,"Precio, Producto",Calidad,Mucho,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,El precio y asesoría,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Algo,"Sí, totalmente",nan,Recomendaciones dermatológicas,Test de piel,nan,nan,Publicidad,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Mejor trato al cliente,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,Precio,nan,"Calidad, Producto",nan,Algo,En parte,Personal capacitado,nan,nan,nan,nan,Que el personal asesore más al cliente tomando en cuenta la piel y sus necesidades l,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,nan,nan,Más altos,nan,nan,Precio,"Calidad, Producto",nan,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,Stand para análisis de cada cliente que acuda por tratamiento dermatológicos,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,nan,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,Precio,nan,"Calidad, Producto",Algo,En parte,Personal capacitado,nan,Test de piel,nan,nan,Personal con conocimientos en dermocosmética,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más bajos que la competencia,nan,Precio,nan,nan,"Calidad, Producto",Mucho,En parte,nan,Recomendaciones dermatológicas,nan,Contenido educativo,nan,Promoción es,Santo Domingo,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Producto",Calidad,Algo,En parte,Personal capacitado,nan,nan,nan,nan,Cremas y productos dermacostica,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,nan,Consejos de expertos,Promociones y descuentos,nan,Similares,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Publicidad,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,En parte,Personal capacitado,nan,Test de piel,Contenido educativo,nan,Promo jeje,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Ninguna,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Mejor información,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,nan,Precio,"Calidad, Producto",Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,"Asesoría profesional, talleres de marcas vip y con dermatologos",Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Calidad, Producto",Precio,Mucho,En parte,Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,El asesoramiento único para cada persona,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Gallardo,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Básica,Poco clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,Calidad,nan,"Precio, Producto",nan,nan,Poco,No,nan,nan,Test de piel,nan,nan,Asesoría adecuada y precios,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Muy clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,nan,nan,Más altos,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Perdonal capacitado,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Similares,nan,Precio,nan,"Calidad, Producto",nan,Mucho,En parte,Personal capacitado,nan,nan,nan,nan,Variedad y precios competitivos.,Quito.,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,nan,Más altos,nan,nan,Precio,nan,"Calidad, Producto",Mucho,En parte,Personal capacitado,nan,Test de piel,nan,nan,Muestras gratis,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Santo Domingo de los sthachilas,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Más altos,Precio,nan,nan,"Calidad, Producto",nan,Mucho,En parte,nan,nan,Test de piel,nan,nan,"Los precios son altos, considerar ser más accesible",Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,nan,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Promociones asesoramiento variedad,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más altos,nan,Precio,nan,"Calidad, Producto",nan,Algo,En parte,nan,nan,nan,nan,Opiniones de otros clientes,Precios,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Más altos,Calidad,nan,Precio,Producto,nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Los precios,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,nan,Consejos de expertos,nan,nan,Similares,nan,nan,nan,"Precio, Producto",Calidad,Mucho,"Sí, totalmente",nan,nan,Test de piel,nan,nan,Bajar precios,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,Precio,nan,nan,"Calidad, Producto",Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Asesoria,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,"Calidad, Producto",Precio,nan,nan,nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,Opiniones de otros clientes,Atención inmediata,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,No la asocio con dermocosmética,Poco clara,No he notado su comunicación,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,nan,nan,Similares,"Precio, Calidad, Producto",nan,nan,nan,nan,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,Contenido educativo,Opiniones de otros clientes,Mejor publicidad del área dérmicosmetica,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,Contenido educativo,nan,creo que seria al momento de preguntar por el tipo de piel,guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
Sí,"No, nunca",Algo asociada,Confiable,Clara,En parte,Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,nan,nan,Precio,"Calidad, Producto",nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,Test de piel,Contenido educativo,nan,Demostraciones en vivo,Guayaquil,Guayaquil
Sí,"No, nunca",Poco asociada,Básica,Poco clara,En parte,nan,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,nan,No lo sé,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,Más publicación sobre sus productos,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Que tenga una persona capacitada,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Moderna,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,nan,Más altos,Calidad,nan,Producto,Precio,nan,Algo,"Sí, totalmente",Personal capacitado,nan,nan,nan,Opiniones de otros clientes,Precios,Guayaquil,Guayaquil
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Básica,Clara,En parte,nan,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,Contenido educativo,Opiniones de otros clientes,Información completa del producto.,Guayaquil,Guayaquil
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Fibeca,Gquiil,Guayaquil
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más bajos que la competencia,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Más sobre el tipo de piel que productos usar y como realizarlos,Ecuador,Guayaquil
Sí,"No, nunca",Muy asociada,Confiable,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,De pronto talleres con los clientes para dar a conocer sus productos,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,Producto,"Precio, Calidad",nan,Mucho,En parte,nan,Recomendaciones dermatológicas,Test de piel,nan,nan,Una atención más oportuna,Guayaquil,Guayaquil
Sí,"No, nunca",Muy asociada,Económica,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,En lo personal un poquito más de atención y cordialidad con los clientes de ahí todo bien,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,Promociones y descuentos,nan,Más altos,nan,nan,nan,nan,"Precio, Calidad, Producto",Algo,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Realizar demostraciones en todos sus puntos.,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,Antes y después / resultados,Consejos de expertos,nan,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Que haya más promociones en ciertos productos,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,nan,nan,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,nan,"Precio, Calidad",Producto,nan,Algo,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,Contenido educativo,nan,Personal con recomendaciones o pruebas,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Más altos,nan,nan,Precio,nan,"Calidad, Producto",Mucho,"Sí, totalmente",nan,nan,Test de piel,nan,nan,"Que las promociones sean más claras en los productos desmacosméticos, que sean más claros y nod confundan con publicidad engañosa al cliente",Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Moderna,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,Antes y después / resultados,nan,nan,Comparación entre productos,Más bajos que la competencia,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,En parte,Personal capacitado,nan,Test de piel,nan,nan,Todo esta bien,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Mayor información del producto,Manta,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,"Precio, Producto",nan,nan,nan,Calidad,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,El personal que nos atiende porque a veces queremos la información de un producto médico y cuando les preguntamos a ellos y ellos no saben dar la información correcta del producto,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,nan,nan,Comparación entre productos,Más altos,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,En las recomendaciones del personal,Guayaquil,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,En nada,Guayaquil,Guayaquil
Sí,"No, nunca",Poco asociada,Moderna,Clara,En parte,Beneficios claros del producto,nan,nan,Consejos de expertos,Promociones y descuentos,nan,Más altos,nan,Producto,nan,"Precio, Calidad",nan,Algo,No,Personal capacitado,nan,Test de piel,nan,nan,Tengan personal calificado,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Poco asociada,Básica,Poco clara,En parte,nan,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,nan,nan,Más altos,nan,Precio,Producto,Calidad,nan,Poco,En parte,Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,Más variedad de productos en dermocismetica,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Muy clara,En parte,nan,nan,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Un especialista en Recomendaciones dermatológicas,Guayaquil,Guayaquil
Sí,"No, nunca",Muy asociada,Confiable,Muy clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Más altos,"Precio, Calidad",Producto,nan,nan,nan,Algo,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Una atención breve y consisa,Guayaquil,Guayaquil
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Guayaquil Guayas,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Muy clara,En parte,nan,Recomendaciones según tipo de piel,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,La asesoría en elección de productos,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Experta,Clara,"Sí, claramente",Beneficios claros del producto,nan,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,nan,Más bajos que la competencia,nan,nan,nan,"Precio, Producto",Calidad,Mucho,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Me parece que es el mejor,Guayaquil,Guayaquil
Sí,"Sí, pero hace más de 6 meses",Poco asociada,Confiable,Clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Más bajos que la competencia,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Así está bien,Santa Lucia,Guayaquil
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confusa,Muy clara,En parte,nan,nan,nan,nan,Promociones y descuentos,nan,Más altos,nan,nan,nan,nan,"Precio, Calidad, Producto",Nada,No,Personal capacitado,nan,nan,nan,nan,Capacitar al personal no solo para vender sino para asesorar el mejor tratamiento de a cuerdo al bolsillo y necesidad del cliente,Samborondon,Guayaquil
